"name","price","review_count","rating","est_income","est_total_cost","expected_profit"
"Sniper Shooter Pro by Fun Games For Free","0.99","945","5.0","$330,000.00","$142,000.00","$188,000.00"
"VPN Go - Safe Fast & Stable VPN Proxy","0.00","881","5.0","$330,000.00","$142,000.00","$188,000.00"
"Clashy Colors","0.00","854","5.0","$330,000.00","$142,000.00","$188,000.00"
"KSI Unleashed","0.00","854","5.0","$330,000.00","$142,000.00","$188,000.00"
"SLOTS: TRUMP vs. HILLARY CLINTON Free Slot Games","0.00","834","5.0","$330,000.00","$142,000.00","$188,000.00"
"Infect Them All : Vampires","0.99","826","5.0","$330,000.00","$142,000.00","$188,000.00"
"美柚 - 女生助手","0.00","804","5.0","$330,000.00","$142,000.00","$188,000.00"
"Daily Audio Bible App","0.99","796","5.0","$330,000.00","$142,000.00","$188,000.00"
"Demi Lovato - Zombarazzie Adventure","0.00","690","5.0","$330,000.00","$142,000.00","$188,000.00"
"Mystic Castle - the Simplest & Best RPG and Adventure Game","0.00","650","5.0","$330,000.00","$142,000.00","$188,000.00"
"中华万年历-2亿用户首选的日历软件","0.00","598","5.0","$330,000.00","$142,000.00","$188,000.00"
"蘑菇街-网红直播搭配的购物特卖平台","0.00","558","5.0","$330,000.00","$142,000.00","$188,000.00"
"SplitMoji","0.99","537","5.0","$330,000.00","$142,000.00","$188,000.00"
"Color•多彩手帐","0.00","485","5.0","$330,000.00","$142,000.00","$188,000.00"
"Lewandowski: Football Star","0.00","385","5.0","$330,000.00","$142,000.00","$188,000.00"
"Hidden my game by mom - escape room","0.00","311","5.0","$330,000.00","$142,000.00","$188,000.00"
"Beat da Beat","0.99","301","5.0","$330,000.00","$142,000.00","$188,000.00"
"Burger Shop","0.99","299","5.0","$330,000.00","$142,000.00","$188,000.00"
"Muhammad Ali: Puzzle King","0.00","277","5.0","$330,000.00","$142,000.00","$188,000.00"
"内涵段子 - 精选搞笑图片、视频","0.00","275","5.0","$330,000.00","$142,000.00","$188,000.00"
"[the Sequence]","0.99","254","5.0","$330,000.00","$142,000.00","$188,000.00"
"SelfieCity","0.00","252","5.0","$330,000.00","$142,000.00","$188,000.00"
"Galactic Nemesis","0.99","247","5.0","$330,000.00","$142,000.00","$188,000.00"
"Green the Planet 2","0.00","233","5.0","$330,000.00","$142,000.00","$188,000.00"
"Picolo drinking game","0.00","227","5.0","$330,000.00","$142,000.00","$188,000.00"
"驾考宝典-2017最新考驾照驾校学车驾考通","0.00","208","5.0","$330,000.00","$142,000.00","$188,000.00"
"Never Hillary Clinton","0.99","207","5.0","$330,000.00","$142,000.00","$188,000.00"
"MUSYNX","0.99","197","5.0","$330,000.00","$142,000.00","$188,000.00"
"鬼畜-一亿人都在用的聊天必备神器!","0.00","193","5.0","$330,000.00","$142,000.00","$188,000.00"
"Urlaubspiraten","0.00","188","5.0","$330,000.00","$142,000.00","$188,000.00"
"Alliance Wars: World Domination","0.00","176","5.0","$330,000.00","$142,000.00","$188,000.00"
"武林群侠传—经典单机武侠RPG","0.99","166","5.0","$330,000.00","$142,000.00","$188,000.00"
"Bitauto Autoprice","0.00","157","5.0","$330,000.00","$142,000.00","$188,000.00"
"机票、火车票、汽车票预定助手 for 铁路12306","0.00","128","5.0","$330,000.00","$142,000.00","$188,000.00"
"Tomb Journey (Ancient ruins fantasy adventure)","0.99","126","5.0","$330,000.00","$142,000.00","$188,000.00"
"Return to Grisly Manor","0.99","116","5.0","$330,000.00","$142,000.00","$188,000.00"
"Rogue Ninja","0.00","99","5.0","$330,000.00","$142,000.00","$188,000.00"
"Giant Turnip Game: A Voyage Of Vegetable Extraction!","0.00","89","5.0","$330,000.00","$142,000.00","$188,000.00"
"更加令人感动的养成游戏「昭和杂货店物语２」","0.00","87","5.0","$330,000.00","$142,000.00","$188,000.00"
"金庸群侠传—全自由单机武侠RPG","0.00","85","5.0","$330,000.00","$142,000.00","$188,000.00"
"火车票Pro for 12306","0.99","76","5.0","$330,000.00","$142,000.00","$188,000.00"
"Escape Game: Fountain","0.00","69","5.0","$330,000.00","$142,000.00","$188,000.00"
"小咖秀-全民视频才艺直播社区","0.00","66","5.0","$330,000.00","$142,000.00","$188,000.00"
"Wappoi Room Escape","0.00","64","5.0","$330,000.00","$142,000.00","$188,000.00"
"Nope Quiz","0.00","61","5.0","$330,000.00","$142,000.00","$188,000.00"
"Escape Game: Forgotten","0.00","55","5.0","$330,000.00","$142,000.00","$188,000.00"
"無制限で人気音楽聴き放題！ - Music Bank（ミュージックバンク）","0.00","52","5.0","$330,000.00","$142,000.00","$188,000.00"
"Highlights Monster Day","0.00","49","5.0","$330,000.00","$142,000.00","$188,000.00"
"Escape Game: Relief","0.00","49","5.0","$330,000.00","$142,000.00","$188,000.00"
"诸神战纪IV:战神崛起","0.99","42","5.0","$330,000.00","$142,000.00","$188,000.00"
"Escape Game: Signs","0.00","41","5.0","$330,000.00","$142,000.00","$188,000.00"
"Behind You!!","0.00","40","5.0","$330,000.00","$142,000.00","$188,000.00"
"CTFxCmoji","0.00","39","5.0","$330,000.00","$142,000.00","$188,000.00"
